2024年上海闵行区公办小学、初中招生划片范围公布，招生细则看过来_腾讯新闻

# 2024年上海闵行区公办小学、初中招生划片范围公布，招生细则看过来

家有幼升小、小升初学生的家长看过来！《2024年闵行区义务教育阶段学校招生入学工作的实施意见》发布啦！

家长最关心的“招生划片范围、小学阶段招生、初中阶段招生、民办学校招生”信息，以及各个阶段时间节点都在这里！详见下文。

根据闵行区“十四五”期间区域教育布局调整和常住人口分布的变化，结合义务教育优质均衡发展的创建等要求，按照免试就近入学原则和本区实际情况，确定各校对口招生入学范围，确保符合条件的适龄儿童接受义务教育。

今年，闵行区公办小学、初中招生划片范围如何划分？一起来看看→

1

《2024年闵行区公办小学招生划片范围》

| 序号 | 学校名称 | 学校地址 | 招生划片范围 |
| 6 | 上海市罗阳中学 | 梅陇镇龙里路89号 | 罗阳一村（罗阳路258弄）、罗阳二村（罗锦路258弄）、罗阳三村（莲花南路431弄）、罗阳四村（莲花南路565弄）、罗阳五村（罗阳路568弄）、盛源花苑（罗锦路556弄）、罗阳七村（罗阳路750弄）、三州花苑（罗阳路800弄)、未名园（莲花南路588弄）、上海阳城（罗锦路888弄）、绿梅公寓（罗阳路111弄）、绿梅别墅（罗阳路255弄）、罗锦新苑（景福路189弄）、莲花河畔景苑（罗阳路599弄）、罗锦苑（罗锦路111弄）、莲花苑（罗阳路261弄）、源梦苑（春申路1888弄）、陇兴别墅、朱行新村（莘朱路1997弄）、朱行二村、朱行三村、朱行四村（莘朱路1924弄）、朱行新四村（莘朱路1760弄）、虹梅佳苑（莘朱路1688弄）、鸿福新村（同乐路151弄）、都市宜家苑(虹梅南路1661弄）、普乐二村（普乐路425弄）、普乐三村（虹梅南路1555弄）、森安苑（普乐路665弄）、朱家行村（虹梅南路以西）部分、行西村(莲花南路以东）部分、行南村(虹梅南路以西）部分、张慕村(淀浦河以南）部分、集心村(莲花南路以东）部分、朱行老街（虹梅南路以西）部分、朱行城中村（虹梅南路以西）部分、锦乐馨苑（普杰路69弄、普杰路100弄）、莲花新苑（罗阳路339弄）、江南欣苑（普乐路333弄、春申路1766弄） |
| 7 | 上海市闵行区莘松中学（莘松校区） | 莘庄镇莘沥路480号 | 莘松三村（莘沥路363弄）、莘松五村（莘沥路499弄）、莘松六村（莘沥路501弄）、莘松七村（莘沥路512弄）、莘松八村（莘沥路366弄）、莘松九村（莘东路373弄）、锦澳家园（莘沥路332弄）、银厦花园（莘沥路128弄）、莘沥路300弄、莘沥路188弄、莘沥路18弄、莘沥路20弄、明物大厦（莘谭路76弄）、莘怡公寓（莘东路498弄）、裕兴花园（七莘路181弄）、锦都花园（莘东路399弄）、金城绿苑（莘北路398弄）、绿梅一村（莘北路255弄）、绿梅二村（莘凌路285弄）、绿梅三村（莘北路399弄）、绿梅公寓（莘凌路241弄）、森都公寓（莘北路50弄） |
| 8 | 上海市闵行区莘松中学（春申校区） | 莘庄镇伟业路229号 | 水仙苑一期（畹町路500弄）、水仙苑二期（春申路2728弄）、玉兰苑随园（伟业路388弄）、万科假日风景（畹町路99弄、畹町路100弄）、上海春城一居委（莲花南路1288弄）、上海春城二居委（莲花南路1108弄）、绿地春申（莲花南路988弄）、莘南花苑一村（莘朱路653弄）、莘南花苑二村（畹町路13弄、畹町路55弄）、江南名邸（高兴路666弄）、新空间（莘朱路651弄）、茉莉苑（春申路2768弄）、玫瑰九九（洱海路99弄）、高兴花园（莘朱路863弄、莘朱路879弄）、中城绿苑（伟业路620弄、伟业路621弄）、常兴家园（莘朱路851弄）、莲花新村（春申路2458弄）、春馨苑（锦梅路1258弄）、春申景城一期（莲花南路1111弄）、春申景城二期（兴梅路1199弄）、春申景城三期（锦梅路1398弄、锦梅路1500弄）、梅陇镇集心村(莲花南路以西）、梅陇镇行西村(莲花南路以西）、【以下小区暂时安置】：梅香苑（莘朱路820弄、伟业路780弄） |
| 9 | 上海市七宝中学附属闵行金都实验中学 | 梅陇镇景联路1817号 | 永联村、曹行村、民建村、爱国村、双溪村、曙建村、五一村、曹中村、许泾村、车沟村、曹行曹建小区（曹建路201弄、曹建路220弄、曹建路227弄、曹建路229弄）、虹山半岛（虹梅南路2323弄）、月光流域（银都路1669弄）、好世麒麟园(金都路1000弄)、银泰苑（双柏路1688弄）、银河新都（老沪闵路2259弄、绿莲路99弄、绿莲路100弄）、银莲花园（莲花南路1535弄）、中春三水苑（曙建路51弄）、金丰佳苑（金都路978弄）、中冶锦城（曙建路78弄）、祥生瑞和苑（曙建路185弄）、银兆公寓（银都路666弄）、华唐苑（虹梅南路2288弄）、虹景苑（景联路1083弄、景联路1085弄、虹梅南路2555弄）、燕南园（景联路1111弄）、中海寰宇（银都路2188弄）、银虹花苑（银都路728弄）、银都名墅(银都路759弄)、美琪花园（虹梅南路3001号）、金丰佳园（金都路978弄）、景香苑（务本路88弄）、中冶锦苑（陇都路51弄）、银香苑（务本路330弄） |
| 10 | 上海市闵行区北桥中学 | 颛桥镇沪闵路1785号 | 北桥居委、银桥花园(沪闵路3131弄)、金榜星墅（沪闵路3131弄）、都市雅筑（沪闵路3131弄）、金塔新村(沪闵路2242弄)、金榜家园(沪闵路2282弄)、上良小区(沪闵路2673号-2683号)、翔泰苑(鹤翔路180弄)、金榜新苑(都市路1800弄、1900弄)、都市富苑(都市路778弄)、万顺水原墅(都市路777弄)、阳光美庭(都市路388弄)、复地北桥城(都市路399弄)、万顺苑(放鹤路2323弄)、骏苑(金阳路366弄、金阳路116弄)、银春小区(灯辉路501弄)、枫泽苑(灯辉路555弄)、绿地银春家园(灯辉路601弄)、光明村、灯塔村、北桥村、中心村（铁路以北）、安乐村（铁路以北）、沪闵路2550号、北吴路1487号、放鹤路2424号-2430号、放鹤路2600号、城开云外（灯辉路377弄） |
| 11 | 上海市闵行区浦江第一中学 | 浦锦街道浦锦路139号 | 陈行村、郁宋村、跃农村、塘口村、丁连村、近浦村、芦胜村、浦江村、亭子村、勤俭村、丰收村、新华村、陈行一村（陈南路418弄）、公安小区（鲁陈路3955弄）、满香苑（江龙路446弄）、景江苑A区（浦秀路639弄）、景江苑B区（浦秀路598弄）、景江苑C区（浦秀路499弄）、景江苑D区（浦秀路518弄）、景江苑E区（浦瑞路509弄）、景舒苑一村（浦秀路359弄）、景舒苑二村（浦秀路360弄）、景舒苑三村（浦秀路183弄）、景舒苑四村（浦秀路220弄）、景舒苑五村（浦秀路48弄、浦秀路49弄）、景舒苑六村（浦瑞路369弄）、景舒苑七村（浦雪路351弄）、景舒苑八村（浦鸥路186弄）、景舒苑九村（浦雪路179弄）、景舒苑十村（浦瑞路55弄、浦瑞路56弄、浦雪路53弄）、浦江世博家园二街坊（浦申路633弄）、浦江世博家园四街坊（北江燕路68弄）、浦江世博家园五街坊（北江燕路228弄）、浦江世博家园六街坊（北江燕路338弄）、浦江世博家园七街坊（南江燕路69弄）、浦江世博家园八街坊（南江燕路229弄）、浦江世博家园九街坊（浦驰路345弄）、浦江世博家园十街坊（浦申路200弄）、浦江世博家园十一街坊（浦驰路188弄）、浦江世博家园十二街坊（浦驰路235弄）、浦江世博家园十三街坊（浦晓南路59弄）、浦江世博家园十四街坊（联航路2015弄）、浦江世博家园十五街坊（联航路2165弄）、智慧园（联航路1399弄）、滨浦新苑、陈行居委、保利锦上（北江洲路280弄）、宝铭浦秀苑（浦秀路750弄）、浦秀苑（浦秀路765弄）、浦秀馨苑（浦秀路1139弄）。【以下小区暂时安置】：浦恒馨苑（浦锦路2159弄、2161弄）、浦恒北苑（浦锦路2385弄） |
| 12 | 上海市闵行区浦江第二中学 | 浦江镇江协路151号 | 杜行村、跃进村、建东村、联民村、建新村、联合村、张行村、康桥村、群益村（含群益小区内的浦江镇原住民）、建岗村、联星村、镇北村、万里村、联胜村、胜利村、革新村、杜行老街、召楼老街、谈中路158弄、谈中路179弄、谈中路184弄、谈中路205弄、谈中路223弄、谈中路230弄、谈中路239弄、叶家桥路165弄、叶家桥路311弄、叶家桥路381弄、馨园小区（鹤坡路19弄）、鹤坡路35弄、鹤坡路83弄、鹤坡路84弄、花苑一村（谈中路52弄、谈中路102弄）、花苑二村（谈中路59弄）、闵浦新苑一村（江玮路100弄）、闵浦新苑二村（鹤坡南路55弄、鹤坡南路56弄）、闵浦新苑三村（鹤坡南路168弄、鹤坡南路169弄）、闵浦新苑四村（江文路688弄）、闵浦新苑五村（江玮路450弄）、闵浦新苑六村（江玮路298弄）、浦江宝邸北区（江文路330弄）、浦江宝邸一期（召楼路2266弄）、浦江宝邸三期（江文路201弄、江文路125弄）、瑞和雅苑（叶家桥东路260弄、叶家桥东路106弄、叶家桥东路36弄、叶家桥东路251弄） |
| 13 | 上海市闵行区浦江第三中学 | 浦江镇闸航路2689号 | 汇中村、北徐村、汇南村、先进村、汇西村、汇红村、汇北村、正义村、新风村、光继村、汇东村、永丰村（浦星公路以东）、永建村（浦星公路以东）、鲁汇老街、新汇绿苑（汇臻路939弄、汇臻路980弄、瑞和城一街区（汇延路199弄、汇延路258弄）、瑞和城二街区（鲁宁路318弄、汇延路59弄）、瑞和城五街区（鲁坤路51弄）、瑞和城六街区（鲁浩路160弄、汇秋路16弄）、瑞和城七街区（汇舒路54弄）、瑞和城八街区（汇舒路119弄）、瑞和城九街区（鲁康路555弄）、红梅苑（三鲁公路467弄128支弄）、红梅雅苑（西城一路177弄）、居民一村（闸航路2551弄、2589弄）、居民二村、三村（闸航路1066号甲乙）、居民四村（闸航路1028号甲乙、闸航路2550弄）、粮友公寓（闸航路1028弄）、三宏公寓（闸航路2550弄15支弄）、居民六村（三鲁路531弄）、望佳一村（闸航路2800弄）、望佳二村（闸航路2825弄）、汇龙花苑（鲁南路85弄）、汇都公寓（闸航路2685弄、三鲁路319弄）、叶茂别墅（闸航路2388弄）、瑞和城三街区（汇臻路815弄、鲁宁路43弄、鲁宁路80弄） |
| 14 | 上海市闵行第四中学 | 江川路街道景谷路9号 | 马桥镇彭渡村、马桥镇同心村、马桥镇吴会村、马桥镇民主村、马桥镇金星村、马桥镇友好村、红旗花苑（东川路2626弄）、红旗五村（碧江路401弄）、凤庆小区（碧江路501弄、景谷路64弄）、景华小区（碧江路402弄、景谷路135弄、华宁路191弄、华宁路189号）、红旗四街坊（碧江路502弄、凤庆路1061弄、景谷路265弄、景谷路176弄、景谷路192弄、景谷路206弄）、碧江路400弄、中景水岸（瑞丽路768弄）、瑞丽名邸（瑞丽路528弄）、景谷苑（华宁路265弄）、友好佳苑（江川路680弄）、电机五村（碧江路210弄）、康乐花园（碧江路280弄）、紫藤新苑（东川路2759弄）、东川苑（东川路2815弄、2817弄）、富仕名邸部分（东川路2718弄）、富仕名邸西区（碧江路338弄）、昆阳小区（天星路240弄、241弄、242弄、251弄；昆阳路420弄、520弄、540弄、550弄、560弄、570弄、580弄、600弄、620弄）、昆阳路362号、天星苑（东川路3533弄）、江川公寓(江川路660弄120支弄)、海赋尚品（瑞丽路918弄）、祥云新城（江川路1777弄） |
| 15 | 上海市闵行区颛桥中学 | 颛桥镇老沪闵路3112号 | 日月华城（颛兴路666弄）、红叶别墅（颛兴路388弄）、华丰苑（中沟路400弄）、光华小区（光华路259号、263号、267号、287号）、颛建路203弄、颛溪七村（颛兴路358弄、中沟路20弄）、日月华庭（颛兴路639弄、颛乐路199弄）、颛溪八村（颛兴路345弄）、颛溪五村（颛兴路245弄)、颛卫路135弄、颛卫路155弄、颛卫路175弄、华银苑（颛兴路45弄）、剑桥馨苑（颛兴东路1550弄）、招商雍华苑（沪光路555弄）、繁盛苑（繁安路59弄）、荣盛苑（颛盛路135弄）、莘闵花园（颛盛路35弄）、阳光雅苑（颛卫路190弄）、卫春苑（中沟路51弄）、申良花园（贵都路345弄）、贵峰苑（金都路3019弄）、贵都新村（都市路3635弄、丰顺路500弄）、圣特丽墅（贵都路366弄）、兴银花园（丰顺路645弄、贵都路158弄）、今天花园（贵都路209弄）、众众德尚世嘉（都市路2899弄）、众众德尚都市府邸（都市路2888弄）、东苑米兰城（老沪闵路3105弄）、金铭文博水景（都市路2501弄、向阳路2088弄）、圣得恒业花园（都市路2099弄）、樱园（都市路3566弄、都市路3588弄）、湖山在望（都市路2566弄）、天籁园（都市路2088弄）、名门世家（老沪闵路2788弄）、盈嘉园（老沪闵路2828弄）、华星商场小区（颛兴路50弄）、晶品商场小区（颛兴路100弄）、工商银行小区（颛兴路180弄）、中沟路40弄、中沟路50弄、集体村、颛桥新村、颛桥南街、颛桥北街、颛桥后东街、颛桥西街、汇通路、磊滨路、向阳村、颛桥紫薇佳园（繁安路388弄） |
| 16 | 上海市实验学校西校 | 古美路街道平吉路300号 | 万源城逸郡（万源路788弄）、万源城一期（莲花路755弄）、万源城御溪（平吉路688弄）、万源城尚郡（万源路580弄）、万源城朗郡（万源路986弄）、万源城御境（古龙路666弄）、祜欣公寓（东兰路751弄）、平南一村、平南二村、平南三村、平南四村、和嘉公寓（东兰路591弄）、同济华城（漕宝路1158弄）、华一新城（古美路1455弄）、东苑古龙城（古龙路66弄）、东苑怡景苑（莲花路1058弄）、新时代景庭（古龙路287弄）、望族新城（古美路675弄）、中友嘉园（古美路1458弄）、梅莲苑（虹梅路1109弄、虹梅路1111弄）、华梅花苑（虹梅路999弄）、701研究所家属楼（东兰路37弄）、蔚蓝城市花园（平吉路88弄）、康健丽都（古美路718弄）、梅陇镇华一村、梅陇镇华二村、古龙尚居（古龙路300弄）、古龙苑（顾戴路388弄） |
| 17 | 上海市闵行区鹤北初级中学 | 江川路街道瑞丽路385号 | 瑞丽新村（瑞丽路35弄、江川路456弄、宾川路311弄、宾川路395号）、红宾花苑（宾川路233弄）、汽轮新村（宾川路200弄、宾川路380弄、瑞丽路61弄、江川路296弄）、电一里委（江川路550弄、江川路558弄、瑞丽路22弄、宾川路405—413号（单号））、电二里委（宾川路406号、宾川路416弄、宾川路430弄）、电四里委（碧江路195弄）、新华小区（鹤庆路411弄、鹤庆路585弄、鹤庆路641弄）、鹤明小区（兰坪路352弄）、鹤北二街坊（安宁路26弄、安宁路88弄、鹤庆路358弄）、金铭福邸（鹤庆路560弄）、金铭福邸四期（瑞丽路386弄）、富仕名邸一期（碧江路329弄）、君临六六公寓（碧江路299弄）、合生城邦（金平路558弄、金平路788弄）、丽都城（金平路328弄）、鹤庆路810弄、闵行花园（江川路418弄）、兰坪路302弄、兰坪路210号、兰坪路220号、兰坪路234号、兰坪路252号 |
| 18 | 上海市闵行区龙茗中学 | 古美路街道虹莘路1888号 | 和润家园（龙茗路1897弄）、东兰新村（漕宝路1508弄）、惠兰苑（漕宝路1508弄）、木兰苑（漕宝路1508弄）、玉兰苑（漕宝路1508弄）、东兰雅苑（龙茗路1699弄）、九星苑（东兰路1349弄）、平吉一村（虹莘路2388弄、虹莘路2448弄）、平吉二村（虹莘路2288弄）、莲花新城（虹莘路2288弄）、东苑半岛花园（顾戴路1266弄、虹莘路2058弄）、新时代花园（顾戴路1100弄）、江南星城一期（顾戴路1199弄）、江南星城二期（顾戴路1325弄）、平阳一村（虹莘路1876弄）、平阳二村（顾戴路1075弄）、平阳三村（虹莘路1700弄）、平阳四村（古美西路628弄）、鸿发家园（古美西路899弄）、东方御花园一期（古美西路753弄）、东方御花园二期（龙茗路513弄）、春意苑（虹莘路1518弄28支弄）、虹莘新村（虹莘路1701弄、虹莘路1551弄）、蓝色港湾（龙茗路1458弄）、欧风花都（东兰路1111弄）、虹莘家园（虹莘路1601弄）、春江锦庐（古美西路752弄）、平阳绿家园（古美西路631弄）、金汇豪庭(龙茗路2121弄)、新时代富嘉花园（古龙路1065弄）、世茗雅苑(龙茗路1597弄)、仲义苑（虹莘路1638弄）、平阳苑（平阳路1465弄）、平阳三街坊（龙茗路701弄、平阳路1375弄）、龙祥公寓（平阳路1515弄）、半岛豪门一期（虹莘路1935弄）、半岛豪门二期（虹莘路1955弄）、金汇豪庭（龙茗路2121弄） |
| 19 | 上海市七宝实验中学 | 七宝镇龙茗路2760号 | 静安新城（漕宝路1467弄）、红明新村（漕宝路1565弄）、大上海国际花园（漕宝路1555弄）、九歌上郡（宜山路2328弄）、宏明雅舍（漕宝路1755弄）、红明村、亦园别墅（虹莘路3500号）、天安豪园（虹莘路3333弄） |
| 20 | 上海市师资培训中心附属闵行实验中学 | 莘庄镇中春路4949号 | 西湖苑（西环路777弄）、环绿公寓（莘沥路563弄）、西环公寓（西环路699弄）、西环一村（西环路169弄）、西环二村（西环路171弄）、西环三村（莘谭路590弄）、西环四村（莘谭路588弄）、西环新村（莘松路625弄）、柳明公寓（莘松路577弄）、碧春园（中春路4915弄）、莘松四村（莘松路470弄）、闵富花苑（莘松路475弄）、梅园邨（莘浜路508弄）、公园天下莘纪苑（西园路128弄）、沁春园一村（莘西南路400弄、莘西南路300弄、莘西南路380弄）、沁春园二村（莘西南路155弄）、沁春园三村（沁春路1366弄、1122弄）、三春汇秀苑（沁春路355弄）、莘松一村（莘谭路295弄）、莘松二村（莘谭路411弄）、团结花园（莘浜路428弄、莘建路375弄、莘建路376弄）、三琳花园（莘松路415弄）、莘建一村（莘建支路2弄）、闵富大厦（莘建路228弄）、康玫公寓（莘浜路215弄）、美丽家园（莘西南路128弄）、世纪名门（莘松路225弄）、莘中新村（莘南路98弄）、莘南新村（莘中路15弄）、源成春苑（沁春路168弄）、溢发公寓（莘浜路35弄）、长寿新村（莘东路51弄）、邻里苑（沪闵路5600弄88支弄）、春申府邸（沪闵路5366弄）、银星大厦（莘浜路10弄）、东苑世纪茗苑（莘东路298弄）、鑫鸿公寓（莘西路403弄45支弄）、兴中公寓（莘松路404弄）、莘浜路（157弄、217弄、285弄、303弄、328弄、341弄、351弄、380弄、46号、276号、284号）、莘建路（含莘建支路,60弄、90弄、100号、119号、230弄、290弄、317弄)、小东街、莘西路（83弄、122弄、138弄、156弄、162弄）、西街421弄、莘南路（102号、104号、106号、108号、112号、114号、116号、118号、120号、122号、124号、126号、128号）、青春村、莘北村、小西街、南街（51弄、44号、64号、56号、69号、129号、142号、143号、145号、148号）、莘松路19弄、莘东路12弄、莘东路火车站、张家宅24号、莘春景苑（莘西南路99弄） |
| 21 | 上海市吴泾中学 | 吴泾镇龙吴路5455号 | 永南小区（剑川路140弄、剑川路150弄）、锦川公寓（剑川路139弄）、剑川路121弄、双柏新村居委（剑川路100弄）、氯碱小区（剑川路50弄）、通海路360弄、永北小区（龙吴路5511弄）、吴泾新村居委（龙吴路5530弄）、新华小区（龙吴路5599弄）、万科花园（龙吴路5688弄）、嘉怡水岸（紫龙路500弄）、现代苑（广南路333弄）、原金红村、原吴泾村、锦浦公寓（剑川路10弄） |
| 22 | 上海市闵行区七宝第三中学 | 七宝镇宝南路88号 | 金泰公寓（漕宝路2999弄）、秀枫翠谷（漕宝路1911弄）、海上新村（漕宝路1800弄）、阳光乾城苑（星中路1111弄）、蒲汇公寓（青年路25弄）、蒲汇别墅（新镇路1258弄）、蒲汇新村（青年路77弄、青年路88弄）、横沥新村（青年路101号）、新镇路983弄、七宝村（横泾港以东段）、三佳花苑（新镇路1060弄）、东风公寓（富强街3弄59支弄）、茂盛花园（新镇路1036弄）、水景书香苑（新镇路888弄）、宝仪花苑（新镇路876弄）、学院新村（新镇路701弄）、东方花园一期(七莘路2288弄横泾港以东段)、东方花园二期（新镇路603弄）、东方花园三期（荣谊路108弄）、莲浦府邸二期（宝铭路88弄）、皇都花园（顾戴路2000弄）、九星家园（宝南路55弄）、九星村（虹莘路以西） |
| 23 | 华东师范大学第二附属中学附属初级中学 | 吴泾镇紫凤路350号 | 紫竹半岛、吴泾镇星火村、吴泾镇英武村、吴泾镇幸福村、吴泾镇友爱村（动迁村） |
| 24 | 上海市闵行区浦航实验中学 | 浦江镇江航南路1051号 | 浦江馨都（先新路1058弄）、浦润苑（浦航路718弄）、欣佳宝邸（闵驰二路58弄、闵驰二路59弄、闵驰二路256弄、闵驰二路257弄）、聚缘南庭（闵驰一路29弄）、聚缘中庭（闵驰一路50弄）、聚缘北庭（浦航路36弄）、汇秀景苑一街坊（浦航路178弄）、汇秀景苑二街坊（闵驰一路208弄）、汇秀景苑三街坊（闵驰一路197弄）、金硕河畔（浦连路388弄、浦连路598弄、江协路51弄）、浦江丽都（浦连路439弄、江航路378弄）、汇颂南苑（浦连路789弄）、中城苑（浦连路99弄）、水语人家（浦涛路751弄、浦涛路768弄）、虹浦新城（浦涛路505弄、浦涛路510弄）、中虹浦江苑（浦涛路75弄、浦涛路100弄）、博雅苑（召楼路2056弄、浦连路150弄）、瑞和新苑（江航路60弄、浦涛路399弄、浦涛路400弄）、瑞和华苑（江航南路801弄、闵驰一路299弄、闵驰一路302弄）、中城新苑（浦连路281弄）、馨和雅苑（召楼路1706弄） |
| 25 | 上海市闵行区马桥复旦万科实验中学 | 马桥镇富卓路340号 | 万科乐康苑（银春路2200弄）、品雅苑（富卓路789弄）、四季悦园(富国路355弄)、马桥景城元景富文苑（银康路735弄）。【以下小区暂时安置】：保利雅苑（银秋路1351弄）、景城馨苑（银林路1002弄）、保利佳苑（富国路39弄）、景城和苑（银康路750弄）、卓越雅苑（富岩路60弄1-84号）、禹州银杏里（富国路199弄1号-36号）。 |
| 26 | 上海中医药大学附属闵行晶城中学 | 闵行区朱行路16号 | 上海晶城、蔷薇一村（老沪闵路1351弄）、蔷薇二村（老沪闵路1351弄）、蔷薇三村（虹梅南路1770弄）、蔷薇四村（虹梅南路1728弄）、蔷薇五村（春申路1581弄）、蔷薇六村（虹梅南路1728弄）、蔷薇七村（春申路1580弄）、蔷薇八村（虹梅南路1660弄）、虹梅南苑（虹梅南路1728弄）、虹梅菁典（春申路1717弄）、朱莘苑（莘朱路2111弄）、晶珑坊（龙州南路58弄）、景华新苑（华展路168弄）、行南村（虹梅南路以东）部分、朱行城中村（虹梅南路以东）部分、朱一小区（虹梅南路1208弄） |
| 27 | 上海师范大学附属闵行第三中学 | 闵行区南江榉路465号 | 浦江华侨城（江桦路200弄、江桦路400弄、江桦路600弄、江桦路199弄、江桦路399弄、江柳路200弄、江柳路400弄、浦驰路1809弄、浦驰路1659弄、浦驰路1335弄、浦驰路1336弄、浦驰路1628弄、浦锦路1658弄、江栀路500弄、江栀路350弄、浦申路1288弄、浦晓路112弄）；浦江坤庭（浦秀路1385弄、浦秀路1386弄、浦雪路1180弄、浦锦路1181弄）；保利茉莉公馆（浦秀路1535弄、浦秀路1536弄、北江桐路536弄）；万科翡翠别墅（江桃路555弄、江桃路556弄、浦秀北路55弄、浦秀北路155弄）；红醍半岛（江柳路888弄、江柳路889弄）；浦江颐城（浦泉路251弄、浦泉路399弄、浦晓路298弄）；桃花源墅（江桃路299弄、江桃路399弄）；桂鸿院（江柳路600号）；【以下小区暂时安置】：一品漫城（浦星公路568弄、芦恒路378弄、浦申路2639弄） |
| 28 | 上海市闵行区田园外国语中学 | 闵行区田园路455号 | 剑桥景苑(都市路3800弄)，腾谷苑（都市路3700号），怡泰苑（金都路2758号），银都新村(银都路3118弄)，金都小区(银都路3151弄)，君临天下(银都路3399弄），君临颐和（银都路3535弄)，好世凤凰城(银都路3536弄) |
| 29 | 上海市闵行中学附属实验中学 | 闵行区景谷中路102号 | 东江小区（兰坪路301弄、兰坪路401弄）、东风小区（江川路248弄）、鹤庆小高层（兰坪路301弄22支弄）、鹤北一街坊（鹤庆路136弄、鹤庆路58弄）、鹤北新苑（安宁路289弄）、欧洲花园（安宁路379弄）、金榜人家（石屏路399弄）、剑桥丽苑（凤庆路150弄）、畅馨园（凤庆路58弄）、剑桥福邸、南洋瑞都、金榜雅苑（金平路777弄）、金平路555弄、鹤庆苑（安宁路330弄）、金平新村（安宁路400弄、金平路337弄）、千岱名墅（安宁路458弄）、凤凰城（景谷中路58弄）、中心村(铁路以南）、安乐村(铁路以南）、沪闵路315弄、黄一村、黄二村 |
| 30 | 上海市闵行第三中学 | 江川路街道华坪路110号 | 兰坪一村（兰坪路70弄）、兰坪二村（兰坪路190弄、江川路291弄、江川路297号、江川路303弄）、帝景园（华坪路100弄）、华江小区（华坪路69弄）、高华小区（兰坪路131弄、江川路241弄、沪闵路158弄、浦江花苑（浦江路58弄、浦江路170号、浦江路190号）、星河景苑（新闵路481弄）、新闵小区（江川东路863弄、新闵路522弄）、河东小区（河东路、新西街82弄、横泾东路、横泾西路）、建设路16弄、建设路39弄、沪闵路（73弄、111弄、121弄、123弄、170弄、172弄、174弄、176弄）、新闵路、紫竹苑（江川东路839弄）、兰坪路136弄、闵东路、新安路、江川街道南北大街 |
| 31 | 上海市闵行区教育学院附属友爱实验中学 | 吴泾镇剑川路408号 | 剑川路201弄、枫桦景苑一期（剑川路198弄）、枫桦景苑二期（永德路228弄）、紫晶南园（广南路666弄）、虹梅新苑一期、四期(永德路360弄）、虹梅新苑二期、三期（永德路369弄）、虹梅景苑一期（永德路700弄）、虹梅景苑二期（尚义路229弄）、虹梅景苑三期（尚义路459弄）、虹梅景苑四期（尚义路428弄）、紫光路801弄、塘泾南苑(曹家塘路220弄)、塘泾北苑(曹家塘路390弄)、吴泾镇共和村（不包含原吴泾村）、吴泾镇新建村（不包含原金红村）、吴泾镇塘湾村、吴泾镇和平村、塘湾中心街、塘中路2—3号、永德宝邸（曹家塘路399弄、曹家塘路229弄）、广南星园（广南路666弄）。【以下小区暂时安置】：万科青藤（紫龙路200弄） |
| 32 | 上海交通大学附属第二中学 | 江川路街道姚安路159号 | 博仕欣居（景谷东路99弄）、交大东川花苑（沧源路880弄）、沧源小区（沧源路770弄）、金榜世家（沧源路660弄）、北欧丽景（沧源路755弄）、三明花园（沧源路755弄）、京浦花园（沧源路755弄）、金榜世家五期（沧源路655弄）、好第坊（东川路865弄）、金榜世家六期（东川路811弄）、源枫景苑（永平南路203弄）、东苑佳和园（永平南路198弄）、当代万国府（沧源路588弄）、东川路925弄 |
| 33 | 上海市七宝中学附属鑫都实验中学 | 闵行区联农路626号 | 申莘新村(申北路53弄）、申莘一村（申北路135弄）、申莘二村（申北路385弄）、申莘三村（申北路350弄）、正峰苑（申北路168弄）、锦峰苑（申北路555弄）、新金山花园（银都路3828弄）、金竹园（春东路950弄）、南郊别墅（中春路3455弄）、锦绣人家（春光路699弄）、名仕世家花苑（申北路566弄）、天恒名城（鑫都路2688弄）、仁和花苑（新源路3211弄）、云天绿洲（鑫都路2711弄）、柳岸人家（鑫都路2699弄）、鑫峰苑（鑫都路2535弄）、宝铭苑（瓶安路1600弄）、绿久苑（颛兴路747弄、颛兴路749弄）、春辉新村（颛兴路748弄）、颛溪十村（颛盛路469弄）、群力小洋房（联农路568弄）、紫磊洋房（光华路1061弄）、紫云华庭（新源路3122弄、新源路3200弄） |
