2024年上海闵行区公办小学、初中招生划片范围公布，招生细则看过来_腾讯新闻

# 2024年上海闵行区公办小学、初中招生划片范围公布，招生细则看过来

家有幼升小、小升初学生的家长看过来！《2024年闵行区义务教育阶段学校招生入学工作的实施意见》发布啦！

家长最关心的“招生划片范围、小学阶段招生、初中阶段招生、民办学校招生”信息，以及各个阶段时间节点都在这里！详见下文。

根据闵行区“十四五”期间区域教育布局调整和常住人口分布的变化，结合义务教育优质均衡发展的创建等要求，按照免试就近入学原则和本区实际情况，确定各校对口招生入学范围，确保符合条件的适龄儿童接受义务教育。

今年，闵行区公办小学、初中招生划片范围如何划分？一起来看看→

1

《2024年闵行区公办小学招生划片范围》

| 序号 | 学校名称 | 学校地址 | 招生划片范围 |
| 28 | 闵行区第二实验小学申莘校区 | 申北路325弄11号 | 申莘新村(申北路53弄)、申莘一村(申北路135弄)、申莘二村(申北路385弄)、申莘三村(申北路350弄)、正峰苑(申北路168弄)、锦峰苑(申北路555弄)、新金山花园(银都路3828弄)、金竹园(春东路950弄)、南郊别墅(中春路3455弄)、锦绣人家(春光路699弄)、名仕世家花苑(申北路566弄) |
| 29 | 闵行区第二实验小学鑫都校区 | 瓶安路1801号 | 天恒名城（鑫都路2688弄）、仁和花苑（新源路3211弄）、云天绿洲（鑫都路2711弄）、柳岸人家（鑫都路2699弄）、鑫峰苑（鑫都路2535弄）、宝铭苑（瓶安路1600弄）、绿久苑（颛兴路747弄,颛兴路749弄）、春辉新村（颛兴路748弄）、颛溪十村（颛盛路469弄）、群力小洋房（联农路568弄）、紫磊洋房（光华路1061弄）、紫云华庭（新源路3122弄、新源路3200弄） |
| 30 | 上海市闵行区田园外语实验小学 | 都市路4388号 | 剑桥景苑(都市路3800弄)，腾谷苑（都市路3700号），怡泰苑（金都路2758号），银都新村(银都路3118弄)，金都小区(银都路3151弄)，君临天下(银都路3399弄），君临颐和（银都路3535弄)，好世凤凰城(银都路3536弄) |
| 31 | 上海市闵行区田园外语实验小学金都校区 | 都市路3000号 | 贵峰苑（金都路3019弄），贵都新村(都市路3635弄、丰顺路500弄)，兴银花园(丰顺路645弄、贵都路158弄)，好世樱缘(都市路3566弄、都市路3588弄)，众众德尚世嘉（都市路2899弄），众众德尚都市府邸（都市路2888弄），申良花园(贵都路345弄)，圣特丽墅(贵都路366弄)，今天花园(贵都路209弄)，盈嘉园(老沪闵路2828弄)，招商雍华苑（沪光路555弄），剑桥馨苑（颛兴东路1550号），东苑米兰城（老沪闵路3105弄），名门世家（老沪闵路2788弄），向阳村 |
| 32 | 闵行区颛桥中心小学 | 中沟路89号 | 颛兴路：华银苑（颛兴路45弄）、华星商场小区（颛兴路50弄）、晶品商场小区（颛兴路100弄）、工商银行小区（颛兴路180弄）、颛溪五村（颛兴路245弄）、颛溪七村（颛兴路358弄+中沟路20弄）颛溪八村（颛兴路345弄）、红叶别墅（颛兴路388弄）、日月华庭（颛兴路639弄）、日月华城（颛兴路666弄）；颛盛路：莘闵花园（颛盛路35弄）、荣盛苑（颛盛路135弄）；颛卫路135弄、颛卫路155弄、颛卫路175弄，阳光雅苑（颛卫路190弄）等各小区；颛建路各小区；中沟路华丰苑（中沟路400弄）、卫春苑（中沟路51弄）、中沟路40弄、50弄小区等各小区；繁盛苑（繁安路59弄）、日月华庭三期（颛乐路199弄）、光华路259号、263号、267号、287号、颛桥新村、颛桥南街、颛桥北街、颛桥后东街、颛桥西街、汇通路、磊滨路、集体村、颛桥紫薇佳园（繁安路388弄） |
| 33 | 闵行区北桥中心小学 | 金阳路355号 | 北桥居委、金塔新村（沪闵路2242弄）、金榜家园（沪闵路2282弄）、灯塔村、光明村、中心村（铁路以北）、安乐村（铁路以北）、北桥村、银春小区（灯辉路501弄、555弄、601弄）、万顺苑（放鹤路2323弄）、复地北桥城（都市路399弄）、骏苑（金阳路366弄、金阳路116弄）、阳光美庭（都市路388弄）、都市富苑（都市路778弄）、翔泰苑（鹤翔路180弄）、万顺水源墅（都市路777弄）、上良小区（沪闵路2673号-2683号）、北桥部队（沪闵路2550号）、北吴路1487号、放鹤路2424号-2430号、放鹤路2600号、城开云外（灯辉路377弄） |
| 34 | 上海市闵行区曹行小学 | 老沪闵路2299弄56号 | 曹行村、曹中村、许泾村、民建村、爱国村、车沟村、双溪村，曙建村、虹景苑（景联路1083弄、景联路1085弄、虹梅南路2555弄）、华唐苑（虹梅南路2288弄）、曹建小区（曹建路220弄、201弄、227弄、229弄）、虹山半岛（虹梅南路2233弄）、月光流域（银都路1669弄）、好世麒麟苑（金都路1000弄）、银泰苑（双柏路1688弄）、银河新都（绿联路99弄、100弄、老沪闵路2259弄）、银莲花苑（莲花南路1535弄）、中春三水苑（曙建路51弄）、金丰佳苑（金都路978号）、中冶景城（曙建路78弄）、祥生瑞和苑（曙建路185弄）、中海寰宇（银都路2188号）、燕南园（景联路1111弄）、银都名墅（银都路759弄）、美琪花园（虹梅南路3001号）、景香苑（务本路88弄）、银香苑（务本路330弄） |
| 35 | 上海市闵行区景东小学 | 景东路855号 | 塘湾村、和平村、英武村、幸福村、友爱村、星火村、新建村1—12组（不包含原金红村）、共和村1—13（不包含原吴泾村）、枫桦一期（剑川路198弄）、枫桦二期（永德路228弄）、虹梅新苑一期、四期（永德路360弄）、虹梅新苑二期、三期（永德路369弄）、虹梅景苑一期（永德路700弄）、虹梅景苑二期（尚义路229弄）、虹梅景苑三期（尚义路459弄）、虹梅景苑四期（尚义路428弄）、紫晶南园（广南路666弄）、剑川路201弄、嘉怡水岸（紫龙路500弄）、紫光路801弄、塘中路2—3号、广南星园（广南路666弄） |
| 36 | 华东师范大学附属紫竹小学 | 紫凤路198号 | 紫竹半岛、吴泾镇英武村、幸福村、友爱村、星火村居民(动迁)， |
| 37 | 上海师范大学附属闵行第三小学南校 | 立跃路3939号 | 陈行村、郁宋村、跃农村、塘口村、丁连村、近浦村、芦胜村、浦江村、丰收村、勤俭村、亭子村、新华村、陈行居委、景江苑、景舒苑、滨浦新苑、公安小区、保利锦上（北江洲路280弄）、浦秀苑（浦秀路765弄）、宝铭浦秀苑（浦秀路750弄）、浦秀馨苑（浦秀路1139弄）【暂时安置】浦恒馨苑（浦锦路2159弄、2161弄）、浦恒北苑（浦锦路2385弄） |
| 38 | 上海市闵行区浦江第二小学 | 谈中路128号 | 杜行村、张行村、跃进村、建东村、联民村、群益村（含群益小区内的浦江镇原住民）、万里村、康桥村、建岗村、联合村、建新村、胜利村、联胜村、革新村、镇北村、联星村；杜行老街、召楼老街；谈家港：谈中路52弄/102弄(花苑一村)、谈中路59弄(花苑二村)、谈中路158弄、184弄、179弄、205弄、223弄、230弄、239弄、鹤坡路19弄（馨园小区）、83弄/84弄、叶家桥路381弄、165弄、311弄；闵浦新苑：江玮路100弄、298弄、450弄；江文路688弄；鹤坡南路55弄、56弄、168弄、169弄；浦江宝坻北区（江文路330弄）、浦江宝坻一期（召楼路2266弄）、浦江宝坻三期（江文路201弄、125弄）、博雅苑（召楼路2056弄）、博雅苑东区（浦连路150弄）、浦航新城中城苑（浦连路99弄）、中城新苑（浦连路281弄）、中虹浦江苑北区（浦涛路100弄）、中虹浦江苑南区（浦涛路75弄）、瑞和雅苑（叶家桥东路260弄、叶家桥东路106弄、叶家桥东路36弄、叶家桥东路251弄）、鹤坡路35弄 |
| 39 | 浦涛路72号 |
| 40 | 上海市闵行区浦江第三小学 | 鲁浩路350号 | 鲁汇（居民）一村（闸航路2551弄10支弄、闸航路2589弄）、居民二村、居民三村（闸航路1066号甲乙）、居民四村、粮友公寓（闸航路1028号）、三宏公寓（闸航路2550弄15支弄）、居民六村（三鲁路531弄）、望佳一村（闸航路2800弄）、望佳二村（闸航路2825弄）、红梅苑（三鲁路467弄128支弄）、新汇绿苑（汇臻路939弄、980弄）、汇龙花苑（鲁南路85弄）、红梅雅苑（西城一路177弄）、汇都公寓（闸航路2685弄、三鲁路319弄）、叶茂别墅（闸航路2388弄）、汇南村、光继村、汇中村、汇东村、汇北村、汇红村、汇西村、永新村、永建村、永胜村、永丰村、正义村、鲁汇老街、瑞和城一街区（汇延路199弄、258弄）、瑞和城二街区（汇延路59弄、鲁宁路318弄）、瑞和城六街区（鲁浩路160弄、汇秋路16弄）、瑞和城柒街区（汇舒路54弄）、瑞和城八街区（汇舒路119弄）、瑞和城九街区（鲁康路555弄）、先进村（一组、二组、七组、八组）、瑞和城三街区（汇臻路815弄、鲁宁路43弄、鲁宁路80弄）、瑞和城五街区（鲁坤路51弄） |
| 41 | 上海戏剧学院闵行附属学校 | 闵瑞路501号 | 汇颂南苑（浦连路789弄）；浦江丽都（浦连路439弄、江航路378弄）；金硕河畔（浦连路388弄、598弄、江协路51弄）；瑞和新苑（江航路60弄、浦涛路399弄、400弄）；虹浦新城（浦涛路505弄、510弄）；水语人家（浦涛路751弄、768弄） |
