▲ Next.js 16.1.1 (webpack)
- Local:         http://localhost:3000
- Network:       http://10.35.12.32:3000
- Environments: .env.local
- Experiments (use with caution):
  · optimizePackageImports

✓ Starting...
✓ Ready in 6.2s
 GET /api/auth/session 200 in 32ms (compile: 19ms, render: 14ms)
 GET /api/auth/session 200 in 14ms (compile: 3ms, render: 10ms)
 GET /api/auth/providers 200 in 12ms (compile: 4ms, render: 8ms)
 GET /api/auth/csrf 200 in 16ms (compile: 2ms, render: 14ms)
 POST /api/auth/callback/dev-login 200 in 38ms (compile: 4ms, render: 34ms)
 GET /api/auth/session 200 in 15ms (compile: 6ms, render: 9ms)
 GET /onboarding 200 in 113ms (compile: 4ms, render: 109ms)
 GET / 200 in 54ms (compile: 11ms, render: 43ms)
 GET / 200 in 107ms (compile: 5ms, render: 102ms)
 GET /api/auth/session 200 in 29ms (compile: 19ms, render: 10ms)
 GET /api/auth/session 200 in 13ms (compile: 3ms, render: 10ms)
 GET / 200 in 111ms (compile: 6ms, render: 105ms)
 GET /api/auth/session 200 in 30ms (compile: 19ms, render: 11ms)
 GET /blog/finger-stiff-after-cast-removal 200 in 129ms (compile: 31ms, generate-params: 14ms, render: 98ms)
 GET /api/auth/session 200 in 26ms (compile: 17ms, render: 9ms)
 GET /blog/unknown-recovery-topic 404 in 110ms (compile: 19ms, generate-params: 14ms, render: 91ms)
 GET /api/auth/session 200 in 27ms (compile: 17ms, render: 10ms)
 GET /legal/privacy 200 in 87ms (compile: 15ms, render: 72ms)
 POST /api/auth/_log 200 in 42ms (compile: 29ms, render: 13ms)
 GET /legal/terms 200 in 147ms (compile: 17ms, render: 130ms)
 GET /this-route-does-not-exist 404 in 71ms (compile: 20ms, render: 51ms)
 GET /api/auth/session 200 in 16ms (compile: 11ms, render: 5ms)
 POST /api/auth/_log 200 in 20ms (compile: 10ms, render: 10ms)
 GET /legal/refund 200 in 144ms (compile: 23ms, render: 121ms)
 GET /api/auth/session 200 in 25ms (compile: 16ms, render: 8ms)
 POST /api/auth/_log 200 in 15ms (compile: 5ms, render: 9ms)
 GET /legal/disclaimer 200 in 124ms (compile: 7ms, render: 117ms)
 GET /api/auth/session 200 in 25ms (compile: 16ms, render: 9ms)
 GET /sign-in 200 in 816ms (compile: 152ms, render: 664ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 494ms (compile: 14ms, render: 480ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 494ms (compile: 13ms, render: 481ms)
 GET /onboarding 307 in 499ms (compile: 69ms, render: 430ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 176ms (compile: 35ms, render: 141ms)
 GET /api/auth/session 200 in 64ms (compile: 45ms, render: 19ms)
 GET /api/auth/session 200 in 64ms (compile: 39ms, render: 25ms)
 GET /api/auth/session 200 in 28ms (compile: 13ms, render: 15ms)
 GET /api/auth/session 200 in 27ms (compile: 8ms, render: 20ms)
 GET /api/auth/providers 200 in 20ms (compile: 10ms, render: 9ms)
 GET /api/auth/providers 200 in 18ms (compile: 7ms, render: 11ms)
 GET /api/auth/csrf 200 in 22ms (compile: 8ms, render: 13ms)
 GET /api/auth/csrf 200 in 27ms (compile: 14ms, render: 13ms)
 POST /api/auth/callback/dev-login 200 in 44ms (compile: 16ms, render: 28ms)
 POST /api/auth/callback/dev-login 200 in 39ms (compile: 20ms, render: 19ms)
 GET /onboarding 200 in 454ms (compile: 6ms, render: 449ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 288ms (compile: 12ms, render: 276ms)
 GET /sign-in?callbackUrl=%2Fonboarding 200 in 438ms (compile: 159ms, render: 279ms)
 GET /onboarding 200 in 311ms (compile: 102ms, render: 209ms)
 GET / 200 in 153ms (compile: 18ms, render: 135ms)
 GET /api/auth/session 200 in 52ms (compile: 37ms, render: 15ms)
 GET /api/auth/session 200 in 16ms (compile: 6ms, render: 9ms)
 GET /api/auth/session 200 in 18ms (compile: 5ms, render: 13ms)
 GET /api/auth/providers 200 in 27ms (compile: 11ms, render: 16ms)
 GET /api/auth/providers 200 in 24ms (compile: 7ms, render: 17ms)
 GET /api/auth/csrf 200 in 25ms (compile: 4ms, render: 20ms)
 GET /api/auth/csrf 200 in 20ms (compile: 6ms, render: 15ms)
 POST /api/auth/callback/dev-login 200 in 22ms (compile: 3ms, render: 19ms)
 POST /api/auth/callback/dev-login 200 in 14ms (compile: 5ms, render: 9ms)
 GET /api/auth/session 200 in 27ms (compile: 17ms, render: 10ms)
 GET /onboarding 200 in 202ms (compile: 15ms, render: 188ms)
 GET /onboarding 200 in 166ms (compile: 18ms, render: 148ms)
 GET / 200 in 199ms (compile: 9ms, render: 191ms)
 GET /api/auth/session 200 in 45ms (compile: 33ms, render: 12ms)
 GET /api/auth/session 200 in 13ms (compile: 4ms, render: 9ms)
 GET /api/auth/session 200 in 11ms (compile: 3ms, render: 8ms)
 GET / 200 in 41ms (compile: 5ms, render: 36ms)
 GET / 200 in 103ms (compile: 5ms, render: 98ms)
 GET /api/auth/session 200 in 43ms (compile: 33ms, render: 10ms)
 GET / 200 in 103ms (compile: 5ms, render: 98ms)
 GET /api/auth/session 200 in 27ms (compile: 16ms, render: 12ms)
 GET /blog/finger-stiff-after-cast-removal 200 in 135ms (compile: 32ms, generate-params: 18ms, render: 103ms)
 GET /api/auth/session 200 in 26ms (compile: 17ms, render: 9ms)
 GET /blog/unknown-recovery-topic 404 in 114ms (compile: 19ms, generate-params: 14ms, render: 95ms)
 GET /api/auth/session 200 in 24ms (compile: 17ms, render: 7ms)
 GET /legal/privacy 200 in 97ms (compile: 15ms, render: 82ms)
 POST /api/auth/_log 200 in 25ms (compile: 17ms, render: 7ms)
